New Terminal Output:
Sheet names: ['Task', 'Data']

=== TASK SHEET ===
Row  1: ['Protein Expression A', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 20: ['sp|P04632|CPNS1_HUMA', 'CAPNS1', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 21: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 22: ['Step 2: Calculate St', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 23: ['Statistic', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 24: ['Control Mean:', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 25: ['Control StdDev:', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 26: ['Treated Mean:', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 27: ['Treated StdDev:', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 28: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 29: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 30: ['Step 3: Fold Change ', '', '', '', '', '', '', '', '', '', '', '', '', '', '']

=== DATA SHEET (first 25 rows) ===
Row  1: ['Protein_ID', 'Gene_Symbol', 'Description', 'NCIH1568_LUNG_TenPx15', 'IPC298_SKIN_TenPx08', 'WM2664_SKIN_TenPx02', 'SNU1_STOMACH_TenPx20', 'TE6_OESOPHAGUS_TenPx17', 'FUOV1_OVARY_TenPx16', 'LS513_LARGE_INTESTINE_Ten', 'THP1_HAEMATOPOIETIC_AND_L', 'SW48_LARGE_INTESTINE_TenP', 'NCIN87_STOMACH_TenPx26', 'PC14_LUNG_TenPx05', 'HT55_LARGE_INTESTINE_TenP']
Row  2: ['sp|Q9HCY8|S10AE_HUMAN', 'S100A14', 'S10AE_HUMAN Protein S100-', '0.80', '-1.51', '-0.88', '-1.59', '1.56', '-1.85', '0.72', '-2.12', '0.10', '4.89', '3.80', '0.37']
Row  3: ['sp|Q96EN8|MOCOS_HUMAN', 'MOCOS', 'MOCOS_HUMAN Molybdenum co', '-1.89', '', '-0.52', '0.18', '-0.50', '-0.49', '0.59', '-1.87', '1.13', '0.23', '0.17', '-0.09']
Row  4: ['sp|Q86UT8|CCD84_HUMAN', 'CCDC84', 'CCD84_HUMAN Coiled-coil d', '0.21', '', '', '-0.22', '-0.46', '0.52', '-0.23', '0.17', '0.55', '1.52', '', '0.48']
Row  5: ['sp|O96000|NDUBA_HUMAN', 'NDUFB10', 'NDUBA_HUMAN NADH dehydrog', '-0.11', '0.25', '0.07', '0.06', '0.41', '0.37', '0.10', '-0.16', '-0.24', '0.32', '0.31', '0.56']
Row  6: ['sp|Q86Y38|XYLT1_HUMAN', 'XYLT1', 'XYLT1_HUMAN Xylosyltransf', '', '0.21', '', '0.04', '-0.28', '', '-0.11', '', '', '', '', '1.97']
Row  7: ['sp|Q5SZL2|CE85L_HUMAN', 'CEP85L', 'CE85L_HUMAN Centrosomal p', '-0.69', '', '', '', '', '', '', '', '', '-0.62', '', '']
Row  8: ['sp|Q9BQA1|MEP50_HUMAN', 'WDR77', 'MEP50_HUMAN Methylosome p', '0.43', '0.19', '0.50', '0.08', '0.81', '0.51', '0.16', '-0.00', '0.11', '-0.29', '-0.17', '-0.21']
Row  9: ['sp|Q9C0F1|CEP44_HUMAN', 'CEP44', 'CEP44_HUMAN Centrosomal p', '-0.62', '-0.17', '0.30', '-0.98', '-0.30', '0.64', '0.17', '-0.96', '-0.73', '-0.48', '-0.15', '0.29']
Row 10: ['sp|Q9UH03|SEPT3_HUMAN', 'SEPT3', 'SEPT3_HUMAN Neuronal-spec', '1.09', '0.09', '-0.73', '0.11', '0.57', '1.32', '-0.52', '1.02', '0.73', '0.07', '-0.90', '-1.76']
Row 11: ['sp|P04632|CPNS1_HUMAN', 'CAPNS1', 'CPNS1_HUMAN Calpain small', '-0.05', '0.01', '0.42', '-0.79', '-0.52', '-0.80', '0.67', '0.59', '-0.15', '-0.31', '0.99', '0.40']
Row 12: ['sp|P16402|H13_HUMAN', 'HIST1H1D', 'H13_HUMAN Histone H1.3', '0.76', '0.65', '0.26', '0.40', '-0.10', '0.11', '-0.22', '0.41', '0.47', '0.73', '0.41', '-0.11']
Row 13: ['sp|P55160|NCKPL_HUMAN', 'NCKAP1L', 'NCKPL_HUMAN Nck-associate', '', '', '-0.32', '-0.22', '', '-0.58', '', '2.28', '', '-2.42', '', '']
Row 14: ['sp|Q8IYM9|TRI22_HUMAN', 'TRIM22', 'TRI22_HUMAN E3 ubiquitin-', '-1.86', '', '', '0.11', '0.45', '-0.73', '1.76', '0.39', '-0.44', '-0.37', '', '']
Row 15: ['sp|Q9BXW6|OSBL1_HUMAN', 'OSBPL1A', 'OSBL1_HUMAN Oxysterol-bin', '-0.36', '0.43', '1.32', '0.67', '0.38', '0.20', '1.27', '1.16', '0.31', '-0.40', '-0.61', '-0.09']
Row 16: ['sp|Q5TA45|INT11_HUMAN', 'CPSF3L', 'INT11_HUMAN Integrator co', '0.63', '-0.48', '-0.24', '0.39', '-0.05', '-0.34', '0.14', '1.85', '-0.14', '-0.16', '0.12', '-0.25']
Row 17: ['sp|Q9H0N5|PHS2_HUMAN', 'PCBD2', 'PHS2_HUMAN Pterin-4-alpha', '-0.60', '-0.36', '-1.55', '-0.11', '0.14', '1.12', '0.59', '-0.46', '1.24', '0.20', '0.32', '1.46']
Row 18: ['sp|P40126-2|TYRP2_HUMAN', 'DCT', 'TYRP2_HUMAN Isoform 2 of ', '', '2.28', '2.53', '0.11', '-0.04', '', '-1.27', '', '-0.52', '-0.32', '-1.17', '-0.12']
Row 19: ['sp|O95602|RPA1_HUMAN', 'POLR1A', 'RPA1_HUMAN DNA-directed R', '0.38', '0.23', '0.07', '0.26', '-0.20', '-0.39', '-0.29', '0.21', '0.88', '0.46', '-0.05', '0.14']
Row 20: ['sp|P49593|PPM1F_HUMAN', 'PPM1F', 'PPM1F_HUMAN Protein phosp', '0.69', '0.51', '0.80', '1.36', '-0.35', '0.06', '-0.61', '0.24', '-0.25', '-1.10', '-0.92', '-0.80']
Row 21: ['sp|Q13586|STIM1_HUMAN', 'STIM1', 'STIM1_HUMAN Stromal inter', '-0.47', '-0.29', '-0.69', '-0.51', '-0.17', '0.08', '-0.07', '0.69', '-0.09', '-0.66', '-0.08', '0.07']
Row 22: ['sp|Q96TA2-2|YMEL1_HUMAN', 'YME1L1', 'YMEL1_HUMAN Isoform 2 of ', '0.35', '-0.05', '-0.60', '-0.15', '-0.12', '-0.08', '-0.18', '-0.68', '-0.28', '-0.14', '-0.01', '-0.17']
Row 23: ['sp|Q4VC05|BCL7A_HUMAN', 'BCL7A', 'BCL7A_HUMAN B-cell CLL/ly', '', '', '0.50', '-0.15', '', '', '-0.22', '0.94', '', '', '', '']
Row 24: ['sp|Q9UHF1|EGFL7_HUMAN', 'EGFL7', 'EGFL7_HUMAN Epidermal gro', '1.78', '-1.71', '', '', '', '', '0.55', '2.84', '-0.30', '', '-0.07', '-1.44']
Row 25: ['sp|Q14019|COTL1_HUMAN', 'COTL1', 'COTL1_HUMAN Coactosin-lik', '-1.50', '0.59', '0.99', '-1.07', '-1.45', '-0.39', '-1.16', '1.19', '0.22', '-0.74', '0.38', '0.27']

Data sheet dimensions: 201 rows x 53 columns
